Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,Hour,Month,DayOfWeek,Is_Night,Temp_Diff,Hum_Vis_Interaction,Visibility_Category,Wind_Speed_Category
2012-01-01 00:00:00,-0.9068150218364572,-0.5931837080597601,1.0975673828915338,-1.304134758616451,-1.668696397082772,0.2242315880912277,Fog,0,1,6,1,-0.3136313137766972,-1.8315067373866696,Low,Low
2012-01-01 01:00:00,-0.9068150218364572,-0.5748054983555737,1.1566774660372714,-1.304134758616451,-1.668696397082772,0.2242315880912277,Fog,1,1,6,1,-0.33200952348088353,-1.930143520163225,Low,Low
2012-01-01 02:00:00,-0.9068150218364572,-0.5472381837992943,1.2748976323287466,-0.9428796560835152,-1.668696397082772,0.2486793251233355,Fog,2,1,6,1,-0.3595768380371629,-2.127417085716336,Low,Low
2012-01-01 03:00:00,-0.8811459520936548,-0.528859974095108,1.215787549183009,-1.0632980235944938,-1.668696397082772,0.2609031936393721,Fog,3,1,6,1,-0.3522859779985468,-2.0287803029397806,Low,Low
2012-01-01 04:00:00,-0.8811459520936548,-0.5380490789472011,1.215787549183009,-0.9428796560835152,-1.668696397082772,0.2120077195751911,Fog,4,1,6,1,-0.34309687314645365,-2.0287803029397806,Low,Low
2012-01-01 05:00:00,-0.8725895955127206,-0.5380490789472011,1.1566774660372714,-0.7020429210615579,-1.668696397082772,0.2609031936393721,Fog,5,1,6,1,-0.33454051656551953,-1.930143520163225,Low,Low
2012-01-01 06:00:00,-0.8811459520936548,-0.5196708692430149,1.2748976323287466,-0.9428796560835152,-1.668696397082772,0.2853509306714799,Fog,6,1,6,0,-0.3614750828506399,-2.127417085716336,Low,Low
2012-01-01 07:00:00,-0.8725895955127206,-0.5656163935034806,1.038457299745796,-0.9428796560835152,-1.668696397082772,0.2486793251233355,Fog,7,1,6,0,-0.30697320200924005,-1.7328699546101138,Low,Low
2012-01-01 08:00:00,-0.8725895955127206,-0.5656163935034806,1.038457299745796,-0.7020429210615579,-1.668696397082772,0.2120077195751911,Fog,8,1,6,0,-0.30697320200924005,-1.7328699546101138,Low,Low
2012-01-01 09:00:00,-0.8640332389317865,-0.5196708692430149,1.215787549183009,0.0204672840043137,-1.668696397082772,0.1753361140270468,Fog,9,1,6,0,-0.34436236968877165,-2.0287803029397806,Low,Low
2012-01-01 10:00:00,-0.8383641691889839,-0.4461580304262696,1.3931177986202217,-0.7020429210615579,-1.668696397082772,0.1142167714468119,Fog,10,1,6,0,-0.3922061387627143,-2.3246906512694467,Low,Low
2012-01-01 11:00:00,-0.795582386284313,-0.4277798207220833,1.2748976323287466,-0.9428796560835152,-1.668696397082772,-0.0935889933260003,Fog,11,1,6,0,-0.3678025655622297,-2.127417085716336,Low,Low
2012-01-01 12:00:00,-0.7699133165415104,-0.4185907158699902,1.215787549183009,-0.7020429210615579,-1.668696397082772,-0.3258424951309031,Fog,12,1,6,0,-0.3513226006715202,-2.0287803029397806,Low,Low
2012-01-01 13:00:00,-0.7356878902177739,-0.3910234013137108,1.1566774660372714,-0.2203694510176435,-1.668696397082772,-0.5825437339679136,Fog,13,1,6,0,-0.34466448890406315,-1.930143520163225,Low,Low
2012-01-01 14:00:00,-0.6843497507321687,-0.335888772201152,1.1566774660372714,0.6225591215592068,-1.668696397082772,-0.9125881839011956,Fog,14,1,6,0,-0.34846097853101676,-1.930143520163225,Low,Low
2012-01-01 15:00:00,-0.5987861849228271,-0.2715650382364999,1.038457299745796,0.8633958565811639,-1.668696397082772,-1.2059610282863504,Fog,15,1,6,0,-0.3272211466863272,-1.7328699546101138,Low,Low
2012-01-01 16:00:00,-0.5303353322753537,-0.2531868285323137,0.8611270503085835,-0.2203694510176435,-1.668696397082772,-1.3770951875110011,Cloudy,16,1,6,0,-0.27714850374303995,-1.4369596062804482,Low,Low
2012-01-01 17:00:00,-0.4961099059516169,-0.2348086188281274,0.802016967162846,-0.2203694510176435,-1.668696397082772,-1.5237816097035786,Cloudy,17,1,6,0,-0.26130128712348955,-1.3383228235038929,Low,Low
2012-01-01 18:00:00,-0.4276590533041435,-0.1429175703071959,0.8611270503085835,0.0204672840043137,-1.668696397082772,-1.6093486893159212,Rain,18,1,6,1,-0.28474148299694757,-1.4369596062804482,Low,Low
2012-01-01 19:00:00,-0.4875535493706828,-0.1153502557509165,1.215787549183009,0.0204672840043137,-1.668696397082772,-1.6826919004121923,Rain,19,1,6,1,-0.3722032936197663,-2.0287803029397806,Low,Low
2012-01-01 20:00:00,-0.4789971927897485,-0.1153502557509165,1.1566774660372714,0.5021407540482281,0.2351650332296159,-1.9027215337010588,Cloudy,20,1,6,1,-0.363646937038832,0.27201009473660287,Low,Low
2012-01-01 21:00:00,-0.4105463401422752,-0.0785938363425439,1.038457299745796,0.6225591215592068,0.2351650332296159,-2.0371840873775824,Cloudy,21,1,6,1,-0.3319525037997313,0.2442088454022573,Low,Low
2012-01-01 22:00:00,-0.3763209138185384,-0.0602156266383576,0.9793472166000586,1.1042325916031213,-1.668696397082772,-2.122751166989925,Rain,22,1,6,1,-0.31610528718018077,-1.634233171833559,Low,Low
2012-01-01 23:00:00,-0.2993137045901309,-0.0510265217862645,0.6837968008713707,1.8267427966689929,0.2351650332296159,-2.1349750355059616,Cloudy,23,1,6,1,-0.2482871828038664,0.16080509739922094,Low,Low
2012-01-02 00:00:00,-0.3078700611710651,-0.0969720460467302,0.5655766345798956,2.4288346342238856,0.2351650332296159,-2.196094378086196,Rain,0,1,0,1,-0.21089801512433487,0.13300384806487547,Low,Low
2012-01-02 01:00:00,-0.3592082006566701,-0.2348086188281274,0.2700262188512077,2.609462185490353,0.2351650332296159,-2.196094378086196,Cloudy,1,1,0,1,-0.12439958182854269,0.06350072472901179,Low,Low
2012-01-02 02:00:00,-0.4191026967232093,-0.3175105624969657,0.2109161357054701,2.0675795316909498,0.2351650332296159,-2.196094378086196,Cloudy,2,1,0,1,-0.10159213422624364,0.049600100061839056,Low,Low
2012-01-02 03:00:00,-0.4362154098850777,-0.3726451916095245,0.092695969413995,2.187997899201928,0.2351650332296159,-2.1471989040220154,Cloudy,3,1,0,1,-0.0635702182755532,0.02179885072749359,Low,Low
2012-01-02 04:00:00,-0.5046662625325511,-0.4461580304262696,0.092695969413995,2.0675795316909498,0.2351650332296159,-2.196094378086196,Cloudy,4,1,0,1,-0.05850823210628148,0.02179885072749359,Low,Low
2012-01-02 05:00:00,-0.5303353322753537,-0.4461580304262696,0.1518060525597326,2.0675795316909498,0.2351650332296159,-2.2572137206664484,Cloudy,5,1,0,1,-0.08417730184908406,0.035699475394666336,Low,Low
2012-01-02 06:00:00,-0.5560044020181562,-0.4737253449825491,0.1518060525597326,1.3450693266250784,0.2351650332296159,-2.2938853262145757,Cloudy,6,1,0,0,-0.08227905703560706,0.035699475394666336,Low,Low
2012-01-02 07:00:00,-0.5816734717609586,-0.5012926595388286,0.1518060525597326,2.187997899201928,0.2351650332296159,-2.342780800278774,Cloudy,7,1,0,0,-0.08038081222213,0.035699475394666336,Low,Low
2012-01-02 08:00:00,-0.5902298283418929,-0.5380490789472011,0.0335858862682574,2.609462185490353,-0.5263795388953393,-2.342780800278774,Cloudy,8,1,0,0,-0.05218074939469175,-0.017678923327276636,Low,Low
2012-01-02 09:00:00,-0.5987861849228271,-0.5748054983555737,-0.0255241968774801,2.609462185490353,-0.5263795388953393,-2.342780800278774,Cloudy,9,1,0,0,-0.023980686567253384,0.013435414983041835,Low,Low
2012-01-02 10:00:00,-0.6244552546656296,-0.6115619177639463,-0.0846342800232177,2.609462185490353,-0.5263795388953393,-2.2938853262145757,Cloudy,10,1,0,0,-0.012893336901683261,0.044549753293360354,Low,Low
2012-01-02 11:00:00,-0.5645607585990903,-0.5564272886513875,-0.0846342800232177,1.8267427966689929,-0.5263795388953393,-2.281661457698539,Cloudy,11,1,0,0,-0.00813346994770281,0.044549753293360354,Low,Low
2012-01-02 12:00:00,-0.6073425415037612,-0.8045331196579024,-0.6757351114805935,2.609462185490353,-0.5263795388953393,-2.2572137206664484,Clear,12,1,0,0,0.1971905781541412,0.3556931363965455,Low,Low
2012-01-02 13:00:00,-0.6586806809893663,-0.8321004342141818,-0.6166250283348559,2.609462185490353,-0.5263795388953393,-2.18387050957016,Cloudy,13,1,0,0,0.1734197532248155,0.32457879808622697,Low,Low
2012-01-02 14:00:00,-0.6586806809893663,-0.859667748770461,-0.6757351114805935,2.187997899201928,-0.5263795388953393,-2.110527298473871,Cloudy,14,1,0,0,0.20098706778109476,0.3556931363965455,Low,Low
2012-01-02 15:00:00,-0.7528006033796422,-0.8780459584746475,-0.4984048620433807,2.187997899201928,-0.5263795388953393,-2.012736350345492,Cloudy,15,1,0,0,0.12524535509500534,0.2623501214655899,Low,Low
2012-01-02 16:00:00,-0.8126950994461813,-1.034260740960231,-0.734845194626331,1.1042325916031213,-0.5263795388953393,-1.9027215337010588,Cloudy,16,1,0,0,0.22156564151404956,0.386807474706864,Low,Low
2012-01-02 17:00:00,-0.9324840915792598,-1.107773579776976,-0.6166250283348559,0.8633958565811639,0.2351650332296159,-1.7071396374443004,Snow,17,1,0,0,0.17528948819771628,-0.14500864527857923,Low,Low
2012-01-02 18:00:00,-1.1036112231979434,-1.282366571966746,-0.6166250283348559,1.5859060616470355,0.2351650332296159,-1.4626622671233438,Cloudy,18,1,0,1,0.17875534876880272,-0.14500864527857923,Low,Low
2012-01-02 19:00:00,-1.1635057192644824,-1.3466903059313975,-0.6166250283348559,1.1042325916031213,0.2351650332296159,-1.2915281078986758,Cloudy,19,1,0,1,0.18318458666691506,-0.14500864527857923,Low,Low
2012-01-02 20:00:00,-1.2319565719119558,-1.4661486690086087,-0.7939552777720686,1.1042325916031213,0.2351650332296159,-1.2059610282863504,Snow,20,1,0,1,0.2341920970966529,-0.18671051928009744,Low,Low
2012-01-02 21:00:00,-1.2490692850738243,-1.4110140398960498,-0.5575149451891184,1.3450693266250784,0.2351650332296159,-1.108170080157954,Snow,21,1,0,1,0.16194475482222548,-0.1311080206114065,Low,Low
2012-01-02 22:00:00,-1.3517455640450344,-1.5856070320858195,-0.7939552777720686,0.6225591215592068,0.2351650332296159,-0.9737075264814304,Cloudy,22,1,0,1,0.23386146804078511,-0.18671051928009744,Low,Low
2012-01-02 23:00:00,-1.3859709903687711,-1.5304724029732606,-0.4984048620433807,0.2613040190262709,-1.668696397082772,-0.9614836579653938,Snow,23,1,0,1,0.14450141260448945,0.8316863975803254,Low,Low
2012-01-03 00:00:00,-1.522872695663718,-1.70506539516303,-0.6166250283348559,1.5859060616470355,0.2351650332296159,-0.8636927098370146,Snow,0,1,1,1,0.18219269949931194,-0.14500864527857923,Low,Low
2012-01-03 01:00:00,-1.5827671917302568,-1.8153346533881485,-0.7939552777720686,0.6225591215592068,0.2351650332296159,-0.7659017617086181,Cloudy,1,1,1,1,0.23256746165789166,-0.18671051928009744,Low,Low
2012-01-03 02:00:00,-1.651218044377731,-1.6866871854588443,-0.1437443631689553,0.8633958565811639,-1.668696397082772,-0.6436630765481485,Snow,2,1,1,1,0.03546914108111343,0.2398657009209932,Low,Low
2012-01-03 03:00:00,-1.719668897025204,-1.9531712261695453,-0.7939552777720686,2.187997899201928,0.2351650332296159,-0.5458721284197693,Snow,3,1,1,1,0.23350232914434121,-0.18671051928009744,Low,Low
2012-01-03 04:00:00,-1.830901532577348,-2.081818694098849,-0.8530653609178063,1.1042325916031213,0.2351650332296159,-0.4603050488074266,Cloudy,4,1,1,1,0.2509171615215009,-0.2006111439472702,Low,Low
2012-01-03 05:00:00,-1.8565706023201507,-1.9899276455779176,-0.4392947788976432,0.8633958565811639,0.2351650332296159,-0.3625141006790474,Snow,5,1,1,1,0.13335704325776687,-0.10330677127706103,Low,Low
2012-01-03 06:00:00,-1.8907960286438876,-2.0083058552821043,-0.3801846957519056,0.5021407540482281,0.2351650332296159,-0.2524992840346317,Snow,6,1,1,0,0.11750982663821663,-0.0894061466098883,Low,Low
